num_date_time,answer
1_20220825 00,1936.0312499131992
1_20220825 01,1968.5221037233648
1_20220825 02,2121.135729617918
1_20220825 03,1960.8400628523234
1_20220825 04,1926.2459960069048
1_20220825 05,1893.082792889659
1_20220825 06,1933.1426114873268
1_20220825 07,1874.9455871444668
1_20220825 08,3436.132969184056
1_20220825 09,3498.844336830293
1_20220825 10,3187.0897247981698
1_20220825 11,3112.96241686043
1_20220825 12,3264.8242721034926
1_20220825 13,3832.193409322323
1_20220825 14,3718.055903884595
1_20220825 15,2862.074939668413
1_20220825 16,3359.0035246639945
1_20220825 17,3711.165205421599
1_20220825 18,3341.599015746486
1_20220825 19,3227.0387649890263
1_20220825 20,2033.5857007938962
1_20220825 21,2041.1200831344624
1_20220825 22,2010.4759592659695
1_20220825 23,1913.1904010001022
1_20220826 00,1888.8682693705969
1_20220826 01,1987.7757664595915
1_20220826 02,1949.3397203112906
1_20220826 03,1782.4745025415618
1_20220826 04,1834.8322862616674
1_20220826 05,1813.3533854769187
1_20220826 06,1750.0065675895469
1_20220826 07,1835.0020696468669
1_20220826 08,2925.5805701557333
1_20220826 09,3224.4702574939465
1_20220826 10,3232.7547275856937
1_20220826 11,3528.378405440703
1_20220826 12,3670.12043330378
1_20220826 13,3731.864372405392
1_20220826 14,3634.99256870273
1_20220826 15,3388.0261871673047
1_20220826 16,3613.690429662902
1_20220826 17,3567.042685048056
1_20220826 18,3544.2464225726817
1_20220826 19,3257.5521437039297
1_20220826 20,2038.6698875681789
1_20220826 21,2126.9728746056994
1_20220826 22,2284.4373270577516
1_20220826 23,2172.55881663269
1_20220827 00,1766.7949174292553
1_20220827 01,1907.7741839168257
1_20220827 02,1936.5727103632407
1_20220827 03,1787.2198580119937
1_20220827 04,1777.8451794427406
1_20220827 05,1730.5989894064978
1_20220827 06,1665.2055827726776
1_20220827 07,1663.1275661722898
1_20220827 08,2188.8102354543225
1_20220827 09,2143.478666056463
1_20220827 10,2411.599700681491
1_20220827 11,2442.6002453821816
1_20220827 12,2741.8391757984573
1_20220827 13,2782.6488538219173
1_20220827 14,2962.625293580827
1_20220827 15,3187.092448658094
1_20220827 16,3179.9103398222273
1_20220827 17,3008.3256697489633
1_20220827 18,2990.111941638141
1_20220827 19,2782.1043997707866
1_20220827 20,1687.2603009065924
1_20220827 21,1695.5050475727483
1_20220827 22,1669.5637487553583
1_20220827 23,1676.655228595328
1_20220828 00,1499.9447570332322
1_20220828 01,1398.4454497206013
1_20220828 02,1438.381050038415
1_20220828 03,1431.7298083023966
1_20220828 04,1477.0746605338354
1_20220828 05,1507.3530986971407
1_20220828 06,1457.1991653609173
1_20220828 07,1442.146165927787
1_20220828 08,2007.290341217968
1_20220828 09,1966.9189790197877
1_20220828 10,2233.6078161267656
1_20220828 11,2486.8568449172703
1_20220828 12,2394.3924564445656
1_20220828 13,2518.33432908166
1_20220828 14,2605.902217577234
1_20220828 15,2979.663775290308
1_20220828 16,3036.193900905239
1_20220828 17,2937.8303038085573
1_20220828 18,2680.832167560154
1_20220828 19,2505.3564865070666
1_20220828 20,1738.2290689834426
1_20220828 21,1549.893627029807
1_20220828 22,1507.6497483941778
1_20220828 23,1556.9017601342082
1_20220829 00,1858.2322543643875
